Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Sierra Leone,Africa,7795,98,1,,1,125,2,,,
Mexico,Americas,7709747,5980,,,,335011,260,,,
Peru,Americas,4524748,13723,,,,220831,670,,,
Armenia,Europe,451831,15248,,,,8777,296,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Guinea,Africa,38572,294,,,,468,4,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
Senegal,Africa,89076,532,,,,1971,12,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Ghana,Africa,171966,553,34,,34,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627186,9081,,,,146811,175,,,
Saint Barthélemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
Icvanuatu,Other,12,,,,,0,,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Guernsey,,35326,54796,,,,67,104,,,
United States of America,Americas,103436829,31250,,,,1186079,358,349,,349
Bolivia (Plurinational State of),Americas,1212131,10384,,,,22387,192,,,
Netherlands (Kingdom of the),Europe,8636082,49611,54,,54,22986,132,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Australia,Western Pacific,11836372,46417,4399,17,4399,25165,99,17,,17
Brunei Darussalam,Western Pacific,343851,78598,25,6,25,178,41,,,
Democratic Republic of the Congo,Africa,99338,111,,,,1468,2,,,
Chefoo,Other,5,,,,,0,,,,
Réunion,,494595,55243,,,,921,103,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
French Polynesia,Western Pacific,79302,28231,1,,1,650,231,,,
Republic of Moldova,Europe,635570,15755,47,1,47,12233,303,,,
